"question","answer"
"Croatia","Zagreb"
"Armenia","Yerevan"
"Cameroon","Yaounde"
"Cote d'Ivoire","Yamoussoukro (but Abidjan is the administrative center)"
"Namibia","Windhoek"
"Netherlands Antilles","Willemstad"
"Cocos (Keeling) Islands","West Island"
"New Zealand","Wellington"
"United States","Washington, DC"
"Poland","Warsaw"
"Lithuania","Vilnius"
"Laos","Vientiane"
"Austria","Vienna"
"Seychelles","Victoria"
"Holy See (Vatican City)","Vatican City"
"Malta","Valletta"
"Liechtenstein","Vaduz"
"Mongolia","Ulaanbaatar"
"Tunisia","Tunis"
"Faroe Islands","Torshavn"
"Japan","Tokyo"
"Albania","Tirana"
"Bhutan","Thimphu"
"Anguilla","The Valley"
"Christmas Island","The Settlement"
"Iran","Tehran"
"Honduras","Tegucigalpa"
"Uzbekistan","Tashkent (Toshkent)"
"Kiribati","Tarawa"
"Estonia","Tallinn"
"Taiwan","Taipei"
"Georgia","T'bilisi"
"Fiji","Suva"
"Sweden","Stockholm"
"Falkland Islands (Islas Malvinas)","Stanley"
"Bulgaria","Sofia"
"The Former Yugoslav Republic of Macedonia","Skopje"
"Singapore","Singapore"
"South Korea","Seoul"
"Bosnia and Herzegovina","Sarajevo"
"Sao Tome and Principe","Sao Tome"
"Dominican Republic","Santo Domingo"
"Chile","Santiago"
"Yemen","Sanaa"
"El Salvador","San Salvador"
"San Marino","San Marino"
"Puerto Rico","San Juan"
"Costa Rica","San Jose"
"Northern Mariana Islands","Saipan"
"Saint Pierre and Miquelon","Saint-Pierre"
"Reunion","Saint-Denis"
"Guernsey","Saint Peter Port"
"Antigua and Barbuda","Saint John's"
"Jersey","Saint Helier"
"Grenada","Saint George's"
"Dominica","Roseau"
"Italy","Rome"
"British Virgin Islands","Road Town"
"Saudi Arabia","Riyadh"
"Latvia","Riga"
"Iceland","Reykjavik"
"Burma","Rangoon (regime refers to the capital as Yangon)"
"Morocco","Rabat"
"Ecuador","Quito"
"South Africa","Pretoria"
"Cape Verde","Praia"
"Czech Republic","Prague"
"Benin","Porto-Novo is the official capital; Cotonou is the seat of government"
"Vanuatu","Port-Vila"
"Trinidad and Tobago","Port-of-Spain"
"Haiti","Port-au-Prince"
"Papua New Guinea","Port Moresby"
"Mauritius","Port Louis"
"Montserrat","Plymouth"
"Cambodia","Phnom Penh"
"France","Paris"
"Suriname","Paramaribo"
"French Polynesia","Papeete"
"Panama","Panama"
"Federated States of Micronesia","Palikir"
"American Samoa","Pago Pago"
"North Korea","P'yongyang"
"Burkina Faso","Ouagadougou"
"Canada","Ottawa"
"Norway","Oslo"
"Aruba","Oranjestad"
"Greenland","Nuuk (Godthab)"
"Tonga","Nuku'alofa"
"New Caledonia","Noumea"
"Mauritania","Nouakchott"
"Tokelau","none; each atoll has its own administrative center"
"Western Sahara","none"
"Nauru","no official capital; government offices in Yaren District"
"Cyprus","Nicosia"
"Niger","Niamey"
"India","New Delhi"
"The Bahamas","Nassau"
"Kenya","Nairobi"
"Chad","N'Djamena"
"Oman","Muscat"
"Russia","Moscow"
"Comoros","Moroni"
"Uruguay","Montevideo"
"Liberia","Monrovia"
"Monaco","Monaco"
"Somalia","Mogadishu"
"Belarus","Minsk"
"Mexico","Mexico"
"Swaziland","Mbabane"
"Wallis and Futuna","Mata-Utu (on Ile Uvea)"
"Lesotho","Maseru"
"Mozambique","Maputo"
"Philippines","Manila"
"Bahrain","Manama"
"Nicaragua","Managua"
"Mayotte","Mamoutzou"
"Maldives","Male"
"Equatorial Guinea","Malabo"
"Marshall Islands","Majuro"
"Spain","Madrid"
"Luxembourg","Luxembourg"
"Zambia","Lusaka"
"Angola","Luanda"
"Svalbard","Longyearbyen"
"United Kingdom","London"
"Togo","Lome"
"Slovenia","Ljubljana"
"Portugal","Lisbon"
"Peru","Lima"
"Malawi","Lilongwe"
"Gabon","Libreville"
"Bolivia","La Paz (seat of government); Sucre (legal capital and seat of judiciary)"
"Kuwait","Kuwait"
"Malaysia","Kuala Lumpur"
"Palau","Koror"
"Democratic Republic of the Congo","Kinshasa"
"Saint Vincent and the Grenadines","Kingstown"
"Norfolk Island","Kingston"
"Jamaica","Kingston"
"Rwanda","Kigali"
"Ukraine","Kiev (Kyyiv)"
"Sudan","Khartoum"
"Nepal","Kathmandu"
"Uganda","Kampala"
"Afghanistan","Kabul"
"Israel","Jerusalem"
"Saint Helena","Jamestown"
"Indonesia","Jakarta"
"Pakistan","Islamabad"
"Solomon Islands","Honiara"
"Finland","Helsinki"
"Cuba","Havana"
"Zimbabwe","Harare"
"Vietnam","Hanoi"
"Bermuda","Hamilton"
"Guam","Hagatna (Agana)"
"Guatemala","Guatemala"
"Gibraltar","Gibraltar"
"Guyana","Georgetown"
"Cayman Islands","George Town"
"Botswana","Gaborone"
"Tuvalu","Funafuti"
"Sierra Leone","Freetown"
"Martinique","Fort-de-France"
"Tajikistan","Dushanbe"
"Ireland","Dublin"
"Isle of Man","Douglas"
"Djibouti","Djibouti"
"Bangladesh","Dhaka"
"Tanzania","Dar es Salaam"
"Syria","Damascus"
"Senegal","Dakar"
"Denmark","Copenhagen"
"Guinea","Conakry"
"Sri Lanka","Colombo"
"Turks and Caicos Islands","Cockburn Town (on Grand Turk)"
"Moldova","Chisinau"
"Virgin Islands","Charlotte Amalie"
"French Guiana","Cayenne"
"Saint Lucia","Castries"
"Venezuela","Caracas"
"Australia","Canberra"
"Egypt","Cairo"
"Burundi","Bujumbura"
"Argentina","Buenos Aires"
"Hungary","Budapest"
"Romania","Bucharest"
"Belgium","Brussels"
"Barbados","Bridgetown"
"Republic of the Congo","Brazzaville"
"Slovakia","Bratislava"
"Brazil","Brasilia"
"Columbia","Bogota"
"Guinea-Bissau","Bissau"
"Kyrgyzstan","Bishkek"
"Switzerland","Bern"
"Germany","Berlin"
"Belize","Belmopan"
"Yugoslavia","Belgrade"
"Lebanon","Beirut"
"China","Beijing"
"Saint Kitts and Nevis","Basseterre"
"Guadeloupe","Basse-Terre"
"The Gambia","Banjul"
"Central African Republic","Bangui"
"Thailand","Bangkok"
"Brunei","Bandar Seri Begawan"
"Mali","Bamako"
"Azerbaijan","Baku (Baki)"
"Iraq","Baghdad"
"Cook Islands","Avarua"
"Greece","Athens"
"Paraguay","Asuncion"
"Kazakhstan","Astana"
"Eritrea","Asmara (formerly Asmera)"
"Turkmenistan","Ashgabat"
"Samoa","Apia"
"Madagascar","Antananarivo"
"Turkey","Ankara"
"Andorra","Andorra la Vella"
"Netherlands","Amsterdam; The Hague is the seat of government"
"Jordan","Amman"
"Niue","Alofi"
"Algeria","Algiers"
"Pitcairn Islands","Adamstown"
"Ghana","Accra"
"Nigeria","Abuja"
"United Arab Emirates","Abu Dhabi"
